Comment,Liked
High speed and powerful operating system Effects cameras Optical lenses Improve stereo sound quality,1
The weight of this handset is a low battery,0
"It's so hard for God to work everyday with Apple. It has a very high build quality and great design, but not so much of a look.",0
"It's really far from Ensafa that Apple is willing to buy some of the features in its handsets, or because of its appearance, it's so high for its phones.",0
Very good camera with high pixels and pictures with natural colors.,1
The processor really speeds up the phone and has more memory,1
"The body of the body is resistant to glass, preventing the penetration of dust and water, and not use it inside the pool, if it suddenly falls into the water, nothing happens",1
"It looks good, but it does not buy the radio at all",0
Only the class has the same high price,0
Being glassy and sleek in the handset are two of the high-end camera capabilities,1
"There is a problem with the weak battery, and it is a big mistake",0
Why should we hurt ourselves to work it with time-consuming it?,0
"The lens of the camera lets you hear this sound by hitting the door, perhaps you will not be in a busy environment, but if it's silent, your surroundings will taste well",0
"The camera flash does not get cold. It's a very poor quality, but it's really just a class",0
High power of the front and rear camera. Very beautiful design,1
High power of the front and rear camera. Very beautiful design,0
Really the world's worst phone. Just have a name,0
"In my opinion, I do not know any design, and the rest is burned in the distance from the arrow to the Benz",0
"Expensive luxury product, Apple is more likely to get its name to innovate, to your comrades who are willing to cook, or if their use is prohibitive",0
Ultra-slim security so that the face detection sensor opens with digital photo,0
"In terms of hardware and software, there is little backwardness and no words to say",0
Exquisite and eye-catching body design,1
The best and most up-to-date iOS apps are simple and easy operating systems,1
Unparalleled and powerful CPUs are a great asset to the strengths of this product,1
Relative heat regimen at the time of iTunes hard work,0
The user has a very simple and easy way to enjoy your enjoyment,1
It has a really great performance.,1
Early in the little use to get used to it get annoyed,0
The body is very sturdy and durable.,1
"The regiments were very small and mostly related to the programming of some applications, especially the Iranians, who consistently abandoned Apple's system programs by the same tuning regimes by regular updates, and the other programs were also relatively They pay special attention to eliminating their flaws",1
Design and beauty you know how crazy you are.,1
Fully rosulous operating system has a nice sound body,1
"There are a lot of limitations to you, either in terms of hardware or software",0
"The battery is routinely worn out by day, with a pretty frustrating Wi-Fi",0
The operating system screen of the hardware camera is all the better than any other device,1
"You're slow down, weaker than the rest of the flags",0
"Unfortunately, it is against other Android flagships, saying absolutely no performance and exaggeration",0
"In the normal case, the device will cost the Android the smallest and most ordinary and most ordinary Android",0
"Unfortunately, the volume of files and programs is multiplied by the amount of time and the amount of Internet access is also memory occupation",0
"First, you need to pay attention to its strengths, which can be pointed out by the style of the operating system, it's really good and maybe it's possible to say that one and a half times the numbers actually work. Technology is also very interesting",1
"The screen does not say anything to say, with pixel density and resolution, there's nothing to do with any phone.",0
"I love phone very much. In my opinion, it is beautiful and beautiful in all aspects",1
"Good camera and operating system, very strong antenna, high quality hardware",1
"The battery is too weak, but they say they do not climb at all. Al-Kayyy has come up to me some times when she's bouncing or knocking",0
The App Store is very regular and accurate. Every program that is available is very good in Iran,1
"You can easily work with it. Ultimately, if you get into trouble with the filter, your problem will be resolved.",1
"But the basic constraints that make you feel too much and if you can not deal with it, it's so annoying",0
"Compared to competitors, the screen has a weaker screen and grunge",0
It's the most intuitive user interface that makes me wonder,1
Exquisitely crafted design with excellent build quality,1
High-quality camera hardware and battery,1
The super operating system has almost no limits and can do anything about it,1
"Even with its limitations, which is due to its high security, it's a completely different and enjoyable world, and it's a lot more enjoyable to work with.",1
"One of the important things that matters to me is extremely smart. That is, Adam deeply enjoys being so busy when he is working with him",1
"Its operating system without a reg, the quality of touch and body, excellent hands-free quality, high security",1
The battery could be slightly stronger. Battery consumption is high,0
It's a little bit annoying because you can not easily download and manage files on the system and make your application easy to install.,0
"Although we are a sanction, but the software is excellent",1
It does not hang and does not hurt,1
The camera and the lens do not speak and do not follow the number,1
"Extremely fast and fluid in the implementation of the program and the game, and of course multitasking",1
The battery is not enough for a day and you can not use it well,0
I bought this mobile phone as a fish and did not feel any shortage. I found every program I wanted to quickly find in the App Store.,1
You are not satisfied with the support of Iran,0
"In terms of power, with chipsets, you will not miss the camera at all",1
"Its great operating system, which you find new things every day",1
Not satisfied with anyone. No one can buy,0
"The price of this handset does not go away, I wish it was cheaper",0
The phone is good but its price is unfair. It's not worth the purchase,0
Strong hardware strengths are stylish and stylish than before,1
Rocket speed with ultra-fast performance The superb fingerprint sensor's unique audio assistant,1
It was a very bad phone and swallowed its battery,0
it exploded while charging and its screen and battery burned,0
"It was a junk that was installed by itself. A virus could have flashed a thousand times, but it did not work",0
"The page broke down, and a few of the large, full-colored lines on the page were not correct with the flash",0
The function of the handset is impaired and does not work properly,0
Android phones have a bit of life and soon become out of date. I got this miserable experience,0
"If I'm looking for a long-life, high-speed device without a virus and a high-speed hack, I'd recommend",1
"I'm bored, I've sold it, I did not go, I could not do anything right, I did not download anything right",0
its no good and not used in Iran,0
Extremely fast and easy to use. High-performance features,1
"The speed of Apple's outstanding performance and unique apps, you can use it without dropping the speed of a few years.",1
"Super, Deluxe, Excellent, Excellent, not comparable to any phone, not even the best",1
"It hangs, so many apps get crashed, it's getting too hot, it gets hot",0
"In the case of an update, the speed of the handset is a bit trickier.",1
The really best friends may not bring you anything,1
"It's easy to answer for a few years and you do not need to change the phone, and at all, you can not play it down, this phone is a giant in every sense",1
I really had a lot of restrictions on my god's price,0
High-speed camera strong psyche,1
"It's too late to charge the battery, which is a result of continuous operation, which is very powerful with a low capacity battery",0
Lack of fast charging is not a waterproof file manager,0
High prices are unobtainable and without reason,0
"Most facilities are useless for the Iranians, so disappointed.",0
The lack of a Persian keyboard easily slips from Leicester,0
There is no support for Persian language at a time when there is not even a keyboard called Persian among its options,0
"I have to tell you, do not hesitate to buy",1
"The phone is very classy and stylish, especially the color of the gold that is great",1
The strength point is nothing too weak,0
It is very fluid and tasty and a very valuable upgrade for me,1
Really everything is very beautiful and wonderful,1
"It does not look nice at all, in terms of efficiency",0
"Really good phone, Apple has a very high class, it's also very nice",1
It's just the class. It's just nothing. It only takes the brand money,0
It was very hot until the next month the phone was turned off and it did not turn on,0
I'm so sorry I'm not satisfied,0
Unique and outstanding navigation sensor on any device,1
Productivity in the formulation and application synchronization of the minimum leg and sticks while running multiple applications.,1
Shelf life from morning to night for a battery that will last for a full day's full-time use,1
The tactile functionality brings with it its distinctive performance,1
It could be distinguished by the excellent coordination of hardware and software,1
"The durability and durability of its body, as well as the durability of its charger and handsfree cable, which is a kind of boxing wire of its kind",1
Relatively high prices on peripherals,0
"The Chinese brands are lower, as expected, was not welcomed",0
"Really, I'm really pleased with the smartphone",1
I got this phone a month and it's really great,1
it crashed went on hanging out,0
"It's all about getting the user to enjoy the handset, and so much the software and hardware of the handset are in sync, that you never see the hang of a stick on the phone",1
"I personally love my three-dimensional touch, making my work faster",1
"In one word, the best mobile brand in terms of manufacturing quality software",1
Extreme speeds run even at the same time,1
The high quality of the build is very beautiful,1
"I've got this phone for more than a year, and I'm using it, fairly everything is great and I'm satisfied, speed, camera quality, innovation, everything.",1
Its main disadvantage is battery charging,1
Exaggerated and over-saturated camera quality down.,0
The top factor of this handset is its flagship operating system and hardware and security compatibility,1
"In all respects, it's really great to have a great build quality, a high quality display and camera",1
"Good progress has been made, such as faster processors, water resistance, and, to some extent, the development of the camera in low light",1
The 3D touch technology of this handset is very functional,1
Its camera Good operating system. The quality of the right parts. up to date. Stylish,1
"I've got four months old, I can safely say it's best in its own right",1
I would be very happy to offer you,1
File transfer to phone is not easy,0
"I'm getting used to it by my phone, and it's pretty cool. It does not mean the camera is a great hardware.",1
Apps are difficult and you can not easily work with them,0
There are a lot of misunderstandings about this handset and it's not recommended for the entire purchase,0
The point is not high and very poor quality and poor.,0
"I bought and used a month, but then I sold it was not good",0
It ignores the needs of a large category of users and does not eliminate them,0
Extremely high speed in the performance of the programs. Superior screen quality without any hangs,1
"The camera is really awesome, the features of the live images are still in the limelight",1
Do not hesitate to buy this handset this price range is undoubtedly the right option,1
The limitations that this model has given me is to stop buying it. It's hard to use,0
The handset is very hot and sometimes it burns,0
"Contrary to popular belief, the battery is not weak at all. The camera does not really speak",1
This handset is very nice and it's perfectly fun to work with,1
Bluetooth does not have to download the data that it's time to download.,0
"I've got this phone for four months, which is really great, so far I have not seen any weaknesses",1
Precise and fast fingerprinting of terri-dactyl and fast-life,1
Excellent camera with excellent camera features with unrivaled features,1
"After a long break, the hang of speed slowed down to find the virus",0
From the beginning he had a bug and a lagg,0
"Memory and SIM card were damaged. Android is something like a toy, and the operating system is nonsense and it soon crashes the phone.",0
"Good body design and good looks, lightweight, good battery, good battery life and good handsfree",1
Waterproof is not very hot and it costs a lot,0
The hardware is very weak and can not do anything in vain,0
"The handset does not process any process, and it does not hurt at all",0
The whole range of handsets is not too waterproof and waterproof is one of the bad guys in this device,0
"Unlike competitors, this phone does not have a memory card, and this problem makes the device use internal storage",0
Another problem with this product is the lack of Persian language and if an Iranian who does not know foreign languages can not use this product.,0
Supernatural speed imagination excellent sound quality,1
It really is far from the present that everything is all about,1
"All of Apple's strengths include core CPUs, camera and audio playback, appearance",1
Beautiful Cheerful Lovely Running Run,1
"Very good camera, high definition in very high speed recording",1
"I wish the battery capacity was better, too weak",0
The lack of resistance to moisture and water is really a great weakness that can be destroyed by a simple tap water.,0
"Poor battery, poor battery charger, no resistance to water",0
Flexible and fast operating system. Beautiful appearance. Excellent build quality,1
"Variety of accessories, especially the various frames, lack of hug, strong support for newer versions",1
Low-power Salafi Low-Power Battery,0
The battery is weak after a year of operation and it's getting loose sooner than the first days of using this handset,0
App Store is sometimes closed for Iran's IP and can not download it,0
Great body shape with a strong battery design,1
Camera bumps are very expensive accessories,0
OS restrictions Occasional blocking of the Apple store for sanctions,0
Sophisticated 3D touch is not at all efficient,0
The handset is very good and good. It has a beautiful design and is very efficient,1
"If you can not pay for it, do not worry about buying it.",1
A big amount of front camera could have been better,0
"Touches the highest quality and efficiency, and the highest technology is the advantage",1
The most beautiful and smartest phone is always the best.,1
High-performance chip high quality super-high battery life,1
Retina flash and slightly curved plate in a great word,1
Beautiful design and high speed touch camera ID camera and good selfie camera,1
The protruding camera lens has a lot of weight,0
"Strong, low-noise camera with much faster and more practical applications than Android",1
"Camera: High-performance, high-quality photos, great video recording, awesome slam calls",1
"A fast, flowing, unregulated operating system for those who are tired of being sluggish",1
"Quality of construction: good body and metal body, convenient placement of buttons, high quality and responsive display under sunlight",1
Hanging the phone is heavily nervous,0
This handset is superb at great price,1
It does not work well and ruins my eyes,0
The really fastest touchscreen really needs to be tested so you can figure out what's going on. It's also a really interesting 3-D touch and makes the cartoon faster and better.,1
The original Salafi camera has changed a lot and is much better than before,1
"In terms of processors, which is really great, and there's nothing to be fooled, the resolution of the screen is much better, and you see everything at noon in the sun.",1
The quality of the camera and the bottom of the screen is not good.,0
Transparency of the page is an eye-catching and eye-catching.,1
"In my opinion, this handset has all the capabilities of a good, modern and efficient handset",1
"Ultra-powerful hardware, great operating system and its unique features",1
"There is no lag in the top, and there is a phone in its entirety",1
Restrictions on downloading files from the Internet and limiting communication and file transfer with devices,0
Really working with it is because of the speed of its IOS operating system,1
Apple currently uses the best technology and the best parts to make its handsets,1
"After a few hours of wearing out parts, it's hard to do with two hands",0
Superior rear and rear camera. High quality display. Superior processing power,1
The answer is very fast and unparalleled to all commands,1
The quality of the build quality of software and operating system is very fluid and excellent,1
Easy to use fingerprint sensor very accurate and fast,1
"In all respects, the strengths of all of what I have said are true and the strengths are really great",1
The battery is modest in terms of its mid-volume speaker volume,0
The prominence of the camera is good and not good,0
This handset has nothing short of speed and security,1
It was really great for me to buy it very well,1
Sophisticated interface The page quality is very low,0
"Its design does not make any changes to the previous model. In my opinion, this handset is very close to its own",0
I bought this handset first. It's really a great battery. It's a day with heavy use and two days using the Dome-style,1
The touch of the three-dimensional phone boosts the phone's weight. It's an outstanding lens,0
"I'm new, I'm very satisfied with it. It's really a good phone",1
High-resolution camera for awesome and very smooth hardware,1
The operating system is superb and synchronized with stable hardware,1
"The body and glass of the phone are excellent, the anti-lens of the lens",1
"The quality of the image, which does not mean to the camera, which is much weaker than the other cameras",0
"Just because famous people are famous and well-groomed, and people are biting, it's really not worth buying at a price.",0
Elegant design with high quality and classy performance,1
"After the new update, the battery will be empty and the weak spot",0
"In all respects, it's worth buying because of its very powerful hardware",1
It's much better and more refined and best seller. Excellent overall and very stylish,1
"Everything is great, I'd recommend to buy",1
There is no disadvantage without hesitation. Ordering the body,1
Extremely hands-on and nice performance at fast running apps,1
"This is the most appropriate size of the handset, as well as its beautiful design.",1
Ultra-functional design and full hardware alignment with the ergonomic phone software in the true sense,1
"I wish his body was made of titanium, not aluminum",0
This handset is thought out and well-designed and accurately designed,1
Fluffy and fast appearance is superbly appetizing,1
"If you want to play with it or heavier performance, the side of this handset will not be too comfortable for gaming",0
"It's been a week since I bought it, and you've been sitting so hard at this time, really worth the money I've given",1
The good quality of a good camera is a superb high-speed battery,1
This handset is very elegant and has a great and powerful software,1
"After a week's work, I got bored with her. Did not meet my expectations.",0
"Its weaknesses are bigger than its strengths, and it has its own grievances",0
"In the making of this handset, there is a mistake and the final product is incomplete",0
It's really a really great phone. It's not too much for friends to say,1
Excellent home screen speaker quality,1
I bought a high speed after a bit of research and I'm quite pleased,1
"The camera is fantastic. Its selfies are fairly acceptable in dark places, but the main camera is great",1
"Filming is very good, and at no time will your video shake, and you take the parachute particles on your screen, and the microphone is a great camera.",1
Antenna is good and can not be disconnected,1
"Really good resolution, the quality of the sound of the call and the speaker is very good",1
